product_name,code_country,pnns_groups_1,pnns_groups_2,nutrition-score-uk_100g,nutrition-score-fr_100g,sodium_100g,salt_100g,proteins_100g,energy_100g,saturated-fat_100g,sugars_100g,fat_100g,carbohydrates_100g
Sauce Bolognaise A la viande bovine,FRA,Fat and sauces,Dressings and sauces,1.0,1.0,0.433070866141732,1.1,5.0,406.0,1.9,4.2,5.1,7.1
Sauce Tomate Aux 4 légumes,FRA,Fat and sauces,Dressings and sauces,0.0,0.0,0.3543307086614171,0.9,1.6,300.0,0.4,6.6,3.5,7.0
Le petit beurre tablette Chocolat lait - Fourré noisette (x 9),FRA,Sugary snacks,Biscuits and cakes,24.0,24.0,0.181102362204724,0.46,6.3,2159.0,16.0,42.0,26.0,63.0
Tartelettes Chocolat Noir Bio Carrefour,FRA,Sugary snacks,Biscuits and cakes,18.0,18.0,0.133858267716535,0.34,7.0,2170.0,16.0,29.0,29.0,56.0
Carrefour Les carrés fondants Chocolat noir Fourrage Mousse,BEL,Sugary snacks,Chocolate products,20.0,20.0,0.0354330708661417,0.09,7.1,2262.0,21.0,43.0,35.0,46.0
"Quattro Formaggi (Mozzarella, Emmental, Provolone, Fromage bleu)",FRA,Composite foods,Pizza pies and quiche,2.0,2.0,0.39399999999999996,1.00076,12.0,1111.0,4.0,3.0,9.1,32.0
Biscuits tablette dégustation,DEU,Sugary snacks,Biscuits and cakes,22.0,22.0,0.16929133858267698,0.43,7.3,2102.0,15.0,37.0,24.0,63.0
Jus de Pomme et de Cerise à base de concentrés,FRA,Beverages,Fruit juices,-3.0,4.0,0.0118110236220472,0.03,0.5,181.0,0.1,10.0,0.5,11.0
Pâte à tartiner aux noisettes,BEL,Sugary snacks,Sweets,24.0,24.0,0.0905511811023622,0.23,2.0,2402.0,8.3,57.0,37.0,58.0
Jus Multifruits,FRA,Beverages,Fruit juices,-3.0,5.0,0.0,0.0,0.6,220.0,0.0,10.0,0.5,12.0
Champignons de Paris émincés Bio,NLD,Fruits and vegetables,Vegetables,-3.0,-3.0,0.18,0.4572,2.1,76.0,0.1,0.1,0.4,0.2
Épinards hachés à la Crème,BEL,Fruits and vegetables,Vegetables,-6.0,-6.0,0.25,0.635,3.0,188.0,1.2,0.8,1.8,3.0
Piperade basquaise Au piment d'Espelette,FRA,Composite foods,One-dish meals,2.0,2.0,0.393700787401575,1.0,1.1,312.0,1.8,4.2,5.0,5.1
Petites crêpes fourrées au Comté et saveur noix,FRA,Salty snacks,Appetizers,28.0,28.0,0.905511811023622,2.3,12.0,2394.0,18.0,14.0,41.0,39.0
Coulis de tomates,FRA,Fruits and vegetables,Vegetables,-5.0,-5.0,0.35039370078740195,0.89,2.1,210.0,0.08,7.4,0.2,8.5
Arroz con leche BIO,FRA,unknown,unknown,2.0,2.0,0.078740157480315,0.2,3.5,530.0,1.7,12.4,2.8,21.6
Haricots verts en fagots,MDG,Fruits and vegetables,Vegetables,-6.0,-6.0,0.29,0.7366,1.7,90.0,0.0,1.0,0.3,1.8
Choux de Bruxelles,NLD,Fruits and vegetables,Vegetables,-9.0,-9.0,0.16929133858267698,0.43,2.2,141.0,0.2,2.5,0.5,3.6
"Concombres, Fromage Blanc et ciboulette",FRA,Composite foods,One-dish meals,2.0,2.0,0.34251968503936997,0.87,1.2,312.0,0.6,1.7,6.7,2.2
Tomato Ketchup,BEL,Fat and sauces,Dressings and sauces,14.0,14.0,0.905511811023622,2.3,1.5,452.0,0.0,21.0,0.0,24.0
"Yaourt & fruits (Fraise, pêche, abricot, cerise, mûre, poire) 16 Pots",FRA,Milk and dairy products,Milk and yogurt,3.0,3.0,0.05,0.127,3.6,413.0,2.2,13.2,3.3,13.5
"Multifruits, 100 % Pur Fruit Pressé",FRA,Beverages,Fruit juices,-3.0,4.0,0.0118110236220472,0.0299999999999999,0.5,198.0,0.1,10.0,0.5,11.0
Barres céréalières au chocolat et aux cacahuètes,FRA,unknown,unknown,12.0,12.0,0.0905511811023622,0.23,9.6,1807.0,5.1,28.2,14.8,61.8
Asperges blanches Bio Carrefour,ESP,Fruits and vegetables,Vegetables,0.0,0.0,0.5,1.27,1.5,93.0,0.1,0.5,0.4,2.9
Camembert Bio (21 % MG) ,FRA,Milk and dairy products,Cheese,18.0,13.0,0.5,1.27,19.0,1100.0,15.0,0.0,21.0,0.0
"Multifruits, 100 % Pur Fruit Pressé",FRA,Beverages,Fruit juices,-3.0,4.0,0.0118110236220472,0.03,0.5,198.0,0.1,10.0,0.5,11.0
